article,Category
12 MACARON,Cake & Tart
ARMORICAIN,Pastry
BAGUETTE,Baguette
BAGUETTE APERO,Baguette
BAGUETTE GRAINE,Baguette
BANETTE,Baguette
BANETTINE,Baguette
BOISSON 33CL,Beverage
BOTTEREAU,Pastry
BOULE 200G,Bread
BOULE 400G,Bread
BOULE POLKA,Bread
BRIOCHE,Cake & Tart
BRIOCHE DE NOEL,Cake & Tart
BRIOCHETTE,Viennoiserie
BROWNIES,Pastry
BUCHE 4PERS,Cake & Tart
BUCHE 6PERS,Cake & Tart
BUCHE 8PERS,Cake & Tart
CAFE OU EAU,Beverage
CAKE,Pastry
CAMPAGNE,Bread
CARAMEL NOIX,Pastry
CEREAL BAGUETTE,Baguette
CHAUSSON AUX POMMES,Viennoiserie
CHOCOLAT,Viennoiserie
CHOU CHANTILLY,Pastry
COMPLET,Bread
COOKIE,Pastry
COUPE,Miscellaneous
CROISSANT,Viennoiserie
CROISSANT AMANDES,Viennoiserie
CRUMBLE,Pastry
CRUMBLECARAMEL OU PISTAE,Pastry
DELICETROPICAL,Pastry
DEMI BAGUETTE,Baguette
DEMI PAIN,Bread
DIVERS BOISSONS,Beverage
DIVERS BOULANGERIE,Bread
DIVERS CONFISERIE,Candy
DIVERS PATISSERIE,Pastry
DIVERS SANDWICHS,Savory
DIVERS VIENNOISERIE,Viennoiserie
DOUCEUR D HIVER,Pastry
ECLAIR,Pastry
ECLAIR FRAISE PISTACHE,Pastry
ENTREMETS,Pastry
FICELLE,Baguette
FINANCIER,Pastry
FINANCIER X5,Pastry
FLAN,Pastry
FLAN ABRICOT,Pastry
FONDANT CHOCOLAT,Pastry
FORMULE PATE,Savory
FORMULE PLAT PREPARE,Savory
FORMULE SANDWICH,Savory
FRAISIER,Pastry
FRAMBOISIER,Pastry
GACHE,Cake & Tart
GAL FRANGIPANE 4P,Cake & Tart
GAL FRANGIPANE 6P,Cake & Tart
GAL POIRE CHOCO 4P,Cake & Tart
GAL POIRE CHOCO 6P,Cake & Tart
GAL POMME 4P,Cake & Tart
GAL POMME 6P,Cake & Tart
GALETTE 8 PERS,Cake & Tart
GD FAR BRETON,Cake & Tart
GD KOUIGN AMANN,Cake & Tart
GD NANTAIS,Cake & Tart
GD PLATEAU SALE,Savory
GRAND FAR BRETON,Cake & Tart
GRANDE SUCETTE,Candy
GUERANDAIS,Pastry
KOUIGN AMANN,Pastry
MACARON,Pastry
MERINGUE,Candy
MILLES FEUILLES,Pastry
MOISSON,Bread
NANTAIS,Pastry
NID DE POULE,Pastry
NOIX JAPONAISE,Pastry
PAILLE,Pastry
PAIN,Bread
PAIN AU CHOCOLAT,Viennoiserie
PAIN AUX RAISINS,Viennoiserie
PAIN BANETTE,Baguette
PAIN CHOCO AMANDES,Viennoiserie
PAIN DE MIE,Bread
PAIN GRAINES,Bread
PAIN NOIR,Bread
PAIN S/SEL,Bread
PAIN SUISSE PEPITO,Viennoiserie
PALET BRETON,Pastry
PALMIER,Pastry
PARIS BREST,Pastry
PATES,Savory
PLAQUE TARTE 25P,Cake & Tart
PLAT,Savory
PLAT 6.50E,Savory
PLAT 7.00,Savory
PLAT 7.60E,Savory
PLAT 8.30E,Savory
"PLATPREPARE5,50",Savory
"PLATPREPARE6,00",Savory
"PLATPREPARE6,50",Savory
"PLATPREPARE7,00",Savory
PT NANTAIS,Pastry
PT PLATEAU SALE,Savory
QUIM BREAD,Bread
REDUCTION SUCREES 12,Cake & Tart
REDUCTION SUCREES 24,Cake & Tart
RELIGIEUSE,Pastry
ROYAL,Pastry
ROYAL 4P,Cake & Tart
ROYAL 6P,Cake & Tart
SABLE F  P,Pastry
SACHET DE CROUTON,Savory
SACHET DE VIENNOISERIE,Viennoiserie
SACHET VIENNOISERIE,Viennoiserie
SAND JB,Savory
SAND JB EMMENTAL,Savory
SANDWICH COMPLET,Savory
SAVARIN,Pastry
SEIGLE,Bread
SPECIAL BREAD,Bread
SPECIAL BREAD KG,Bread
ST HONORE,Pastry
SUCETTE,Candy
TARTE FINE,Cake & Tart
TARTE FRAISE 4PER,Cake & Tart
TARTE FRAISE 6P,Cake & Tart
TARTE FRUITS 4P,Cake & Tart
TARTE FRUITS 6P,Cake & Tart
TARTELETTE,Pastry
TARTELETTE CHOC,Pastry
TARTELETTE COCKTAIL,Pastry
TARTELETTE FRAISE,Pastry
THE,Beverage
TRADITIONAL BAGUETTE,Baguette
TRAITEUR,Savory
TRIANGLES,Pastry
TROIS CHOCOLAT,Pastry
TROPEZIENNE,Pastry
TROPEZIENNE FRAMBOISE,Pastry
TULIPE,Bread
VIENNOISE,Viennoiserie
VIK BREAD,Bread
